dir_name,img_file,bound_left,bound_top,bound_right,bound_bot,pan,roll,tilt,anger,joy,sorrow,surprise,label
170524_1430_101/,G0019198.jpg,2572,1250,2627,1314,5.220736027,-19.77061653,-4.247591496,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019198.jpg,3006,1324,3079,1409,18.15081215,41.22776413,-6.219128132,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019198.jpg,2113,1313,2183,1393,-0.570516407,7.955276966,-12.87763691,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019198.jpg,3519,1269,3587,1348,-5.806240559,4.776074409,-10.56947994,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019198.jpg,778,1566,868,1671,3.613072395,-0.162273586,-7.88001442,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019198.jpg,2402,1238,2462,1307,38.84011841,26.00694656,-5.748307228,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019198.jpg,1287,1226,1354,1304,43.59375,40.14952469,-23.83799934,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019199.jpg,2570,1251,2625,1314,7.008360386,-22.60207176,-2.91865015,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019199.jpg,3004,1322,3077,1407,24.96802711,42.94063568,-5.792056084,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019199.jpg,163,1454,278,1589,33.84276581,-23.58934593,-16.27625847,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019199.jpg,2397,1219,2470,1303,35.35111237,22.79616547,-30.93488693,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019199.jpg,3518,1269,3587,1349,-1.675941825,3.44342804,-9.163713455,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019199.jpg,1287,1227,1353,1304,44.67070389,40.71341324,-21.96838188,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019199.jpg,517,1445,600,1542,-65.41101074,-7.344159603,8.960882187,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019200.jpg,520,1289,601,1384,18.42626572,-23.26053429,1.848618984,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_1430_101/,G0019200.jpg,2569,1249,2624,1314,6.871157169,-22.35332108,-5.070222378,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019200.jpg,3005,1325,3076,1407,24.50872612,42.61373901,-5.232341766,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019200.jpg,3521,1272,3587,1349,-6.496388435,5.501957417,-4.331030369,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019200.jpg,506,1441,592,1541,-19.12529373,-1.253540635,-34.42231369,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019200.jpg,2400,1229,2463,1302,35.0941658,22.60649109,-17.14569664,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019200.jpg,2265,1469,2342,1558,-35.30240631,-9.279068947,-7.946797371,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019200.jpg,775,1586,865,1691,6.217397213,4.106603622,-6.646687508,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019201.jpg,2995,1315,3070,1401,7.536466599,29.67167473,-4.643701553,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,3
170524_1430_101/,G0019201.jpg,2568,1250,2624,1314,8.324093819,-22.23186874,-5.492611408,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019201.jpg,766,1561,864,1676,-2.11789155,-0.375348777,-5.824807167,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_1430_101/,G0019201.jpg,517,1306,589,1389,42.13426208,-8.371191978,6.212177753,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_1430_101/,G0019201.jpg,3520,1269,3589,1348,-5.48471117,6.357711792,-8.772926331,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
